Name,Country,City,Item 1 Cost,Item 2 Cost,Item 3 Cost,Lat Lng,Text
Maggie Morse,"Oct 3, 2023",3:57 AM,9,6,4,"-53.2301181952, -120.3191090176",Ut tincidunt vehicula risus. Nulla
Zephr Strong,"Feb 20, 2023",12:36 AM,2,4,2,"40.0952952832, 176.6523292672",ullamcorper. Duis at lacus. Quisque
Amal Moreno,"May 13, 2024",1:43 PM,4,4,5,"-80.4511295488, 67.6443053056",porttitor interdum. Sed auctor odio
Barry Vega,"Sep 21, 2022",9:28 AM,9,2,5,"-88.9429137408, 91.894754816",dictum magna. Ut tincidunt orci
Angela Farmer,"Jul 7, 2024",11:49 AM,5,0,0,"-6.3402274816, 72.5933812736","a, magna. Lorem ipsum dolor"
Lucas Galloway,"May 13, 2024",9:40 AM,6,9,9,"-61.1059767296, 30.9177141248",condimentum. Donec at arcu. Vestibulum
Scarlet Rowe,"Nov 18, 2023",1:27 AM,4,2,1,"5.5393369088, 151.854154752","ipsum dolor sit amet, consectetuer"
Jordan Boyd,"Nov 15, 2022",11:14 AM,8,6,3,"-53.5056651264, 179.1472196608",et netus et malesuada fames
Sasha Freeman,"May 26, 2024",10:41 AM,3,0,7,"1.1864403968, -77.35360256","at auctor ullamcorper, nisl arcu"
Liberty Alvarez,"Mar 15, 2024",9:34 AM,2,4,1,"-17.5868051456, -38.6239131648",arcu vel quam dignissim pharetra.
Orson Kramer,"Dec 2, 2022",7:08 AM,6,6,5,"1.822726144, 7.4846459904","fermentum vel, mauris. Integer sem"
Noelle Fischer,"Sep 2, 2023",7:26 AM,9,5,1,"43.8849353728, -62.7623810048",erat volutpat. Nulla facilisis. Suspendisse
Orlando Hewitt,"Jan 15, 2023",2:25 AM,6,6,7,"65.3401208832, -156.0509412352","sem semper erat, in consectetuer"
Piper Craig,"Dec 23, 2023",3:07 AM,4,2,3,"63.4465609728, -67.2269988864",mattis velit justo nec ante.
Nevada Spencer,"Aug 22, 2024",2:24 AM,8,4,4,"-16.3187803136, 73.9928930304","mi pede, nonummy ut, molestie"
Martena Hernandez,"Dec 5, 2023",5:21 AM,6,3,10,"-85.0744669184, 157.2175858688",orci sem eget massa. Suspendisse
Melodie Bolton,"Jan 3, 2024",7:50 AM,5,5,4,"-35.1860466688, 39.091037184",justo sit amet nulla. Donec
Vivien Kinney,"Dec 9, 2023",2:49 AM,3,9,3,"38.6729038848, -179.8986764288","nisl arcu iaculis enim, sit"
Olivia Hale,"Jul 5, 2024",7:29 AM,2,4,1,"-28.5717291008, -60.1617496064",pede et risus. Quisque libero
Myles Cote,"Sep 16, 2023",6:47 PM,9,0,9,"-85.8082098176, -158.2347748352","consequat nec, mollis vitae, posuere"
Madison Maynard,"Jan 5, 2023",12:35 AM,2,7,7,"14.0966214656, -172.6237664256",in consectetuer ipsum nunc id
Kiayada Ryan,"Nov 17, 2023",10:43 PM,0,2,1,"-46.4518813696, -166.2228816896",justo. Proin non massa non
Colin Harper,"Jul 1, 2024",8:04 PM,1,6,2,"-11.3675579392, 8.2204627968","dolor sit amet, consectetuer adipiscing"
Ian Dalton,"Jul 28, 2024",10:50 AM,6,10,8,"22.3588883456, -25.7231434752",eu enim. Etiam imperdiet dictum
Brynn Dorsey,"Aug 4, 2024",12:01 PM,2,8,8,"16.2344399872, 172.7361563648",placerat velit. Quisque varius. Nam
Lynn Singleton,"Nov 25, 2022",6:46 AM,1,0,7,"-73.3575839744, -177.6892418048",Mauris magna. Duis dignissim tempor
Shaine Hewitt,"Aug 11, 2024",12:04 AM,3,8,6,"-52.2489398272, 95.4858328064","lectus quis massa. Mauris vestibulum,"
Sasha Daniel,"Jun 8, 2024",1:09 PM,6,1,1,"-71.0984189952, -31.3853139968","Quisque imperdiet, erat nonummy ultricies"
Timothy Barton,"May 9, 2023",4:09 PM,4,5,0,"65.281875968, -0.6791591936",ridiculus mus. Proin vel arcu
Adena Waters,"May 9, 2024",10:31 PM,8,0,3,"39.380987392, 147.0630730752",felis. Nulla tempor augue ac
Christen Thompson,"May 20, 2024",9:53 PM,1,2,6,"-52.3347314688, -63.6872323072",eros. Nam consequat dolor vitae
Callum Dawson,"Nov 29, 2022",5:56 AM,6,7,7,"63.6264896512, 32.4923418624",Duis a mi fringilla mi
Damian Ball,"Jan 10, 2024",7:14 PM,1,2,2,"-74.7703641088, 107.7980079104","Lorem ipsum dolor sit amet,"
Amos Powers,"May 9, 2024",4:06 AM,4,9,7,"-67.6851576832, 156.3661599744",dictum. Proin eget odio. Aliquam
Hyatt King,"Jun 22, 2023",11:41 PM,0,3,3,"52.6416714752, -31.8882914304",gravida. Praesent eu nulla at
Guy Hill,"Apr 19, 2023",12:23 AM,6,3,10,"-37.9155446784, -161.2231646208","lorem ut aliquam iaculis, lacus"
Callie Lowe,"Feb 25, 2024",1:03 PM,4,1,3,"-44.9097980928, -99.59615744","eu, accumsan sed, facilisis vitae,"
Rahim Love,"Mar 13, 2023",2:10 AM,8,5,9,"56.3501522944, 53.9274870784",ante. Vivamus non lorem vitae
Declan Hawkins,"Jan 17, 2023",8:06 PM,6,9,1,"-18.436112384, -75.9850651648","orci, in consequat enim diam"
Salvador Leonard,"Jan 11, 2023",8:43 PM,6,7,4,"1.1002742784, 25.2564098048","sit amet, faucibus ut, nulla."
Rina Mcintosh,"Dec 25, 2023",9:22 AM,10,7,1,"10.8501916672, 175.263402496","ligula tortor, dictum eu, placerat"
Alexis Good,"Nov 4, 2023",1:31 PM,5,8,0,"63.4608897024, -129.3019951104","tempus, lorem fringilla ornare placerat,"
Hope Christensen,"Sep 4, 2022",1:05 AM,7,4,1,"-6.0538907648, -108.09377792",scelerisque dui. Suspendisse ac metus
Cedric Gordon,"Jul 4, 2023",6:47 PM,3,1,2,"84.5936487424, -73.7496282112",Phasellus at augue id ante
Declan Francis,"Sep 20, 2022",4:10 PM,5,4,6,"15.1679760384, -26.5410965504",erat. Etiam vestibulum massa rutrum
Claudia Kirby,"Mar 18, 2023",1:04 AM,1,3,1,"52.9928326144, 87.511193088","aliquet odio. Etiam ligula tortor,"
Fay Flores,"Jun 1, 2023",3:12 PM,4,1,10,"79.839107072, 34.3213314048",Proin mi. Aliquam gravida mauris
Rafael Powers,"Feb 21, 2024",6:15 PM,2,6,9,"26.5556596736, -164.5439535104",metus. In nec orci. Donec
Morgan Bridges,"Nov 30, 2022",2:19 PM,3,3,6,"82.1070132224, 144.6165403648",aliquet molestie tellus. Aenean egestas
Owen Frost,"Feb 19, 2023",4:56 AM,3,4,6,"19.5228327936, -54.5266581504",a felis ullamcorper viverra. Maecenas
Zia Key,"Jul 2, 2024",8:58 PM,5,2,7,"41.539378176, -123.4068073472",Donec at arcu. Vestibulum ante
Michelle Murray,"Apr 7, 2024",11:43 AM,8,10,0,"-64.2554409984, -60.0474149888",scelerisque neque. Nullam nisl. Maecenas
Ashton Waller,"Jul 10, 2024",4:49 AM,1,1,5,"16.1570410496, 23.7440668672",facilisi. Sed neque. Sed eget
Patience Wilkinson,"Aug 1, 2024",9:35 AM,4,6,10,"-60.899574272, 85.0057322496","malesuada vel, venenatis vel, faucibus"
Alika King,"Oct 15, 2023",3:22 PM,3,6,4,"82.1538270208, -57.4886771712",dignissim tempor arcu. Vestibulum ut
Linda Mclean,"Sep 26, 2023",1:48 AM,3,6,9,"-3.945943552, -20.064428032","auctor, nunc nulla vulputate dui,"
Zephania Bray,"Jul 24, 2024",7:23 AM,6,3,7,"-22.343725568, -91.0792026112","libero mauris, aliquam eu, accumsan"
Vladimir Pratt,"Mar 13, 2024",7:17 PM,9,9,9,"-6.9126785024, -29.6373444608","vulputate, posuere vulputate, lacus. Cras"
Wyatt Webster,"Nov 2, 2022",2:36 AM,8,7,4,"-79.6402829312, -6.94225408",dolor. Nulla semper tellus id
Galena Hendricks,"Jun 22, 2024",4:55 AM,9,4,10,"-1.2120209408, -75.0966160384","adipiscing elit. Aliquam auctor, velit"
Kenyon Hoover,"Jan 16, 2023",8:14 AM,4,7,5,"13.744610816, -126.4629567488",malesuada fames ac turpis egestas.
Pearl Rose,"Dec 30, 2022",9:13 AM,1,9,5,"-89.5764246528, -64.2249472",erat neque non quam. Pellentesque
Mason Saunders,"May 19, 2024",11:44 PM,7,9,3,"-23.1301599232, 102.7677514752","sit amet, risus. Donec nibh"
Holmes Vazquez,"Dec 8, 2023",5:24 AM,9,7,0,"-13.1104794624, 48.7126016","est ac facilisis facilisis, magna"
Rajah Solomon,"Dec 15, 2023",7:22 PM,10,6,1,"15.5702966272, -165.88874496",sed orci lobortis augue scelerisque
Latifah Williamson,"Aug 25, 2024",9:48 AM,2,5,2,"-60.9676286976, -94.7427926016",sed sem egestas blandit. Nam
Ciara Franklin,"Aug 21, 2024",5:12 AM,10,2,2,"3.6813018112, -36.7105690624","vitae, aliquet nec, imperdiet nec,"
Maisie Montgomery,"Sep 18, 2023",3:15 AM,3,2,8,"52.8850372608, 56.6903472128","nisi sem semper erat, in"
Jael Stewart,"Dec 20, 2022",1:46 AM,2,0,3,"89.9097619456, 10.0651583488",pellentesque. Sed dictum. Proin eget
Zeus Atkinson,"Aug 3, 2023",4:45 PM,6,3,1,"66.6682042368, 56.8980046848","aliquet, sem ut cursus luctus,"
Hashim Jackson,"Sep 13, 2023",9:36 PM,9,9,1,"-38.5190803456, -12.5038879744",ac turpis egestas. Fusce aliquet
Illana Kramer,"Mar 6, 2023",8:42 AM,5,3,2,"-12.9910658048, 98.3237489664",orci luctus et ultrices posuere
Vladimir Sanders,"Oct 27, 2022",6:29 AM,8,7,8,"54.4053164032, 2.0801120256",vitae odio sagittis semper. Nam
Basil Lane,"Feb 29, 2024",7:43 AM,4,9,9,"-55.892100608, 19.4356921344",Nulla facilisis. Suspendisse commodo tincidunt
Vincent Lindsey,"May 13, 2024",7:32 AM,3,0,4,"51.5248698368, 64.7653787648","scelerisque sed, sapien. Nunc pulvinar"
Evan Baldwin,"Nov 24, 2023",3:23 PM,6,7,8,"73.142357504, 156.733807104",Nunc sollicitudin commodo ipsum. Suspendisse
Martin Strong,"Mar 17, 2023",2:47 AM,9,9,9,"64.5299096576, -81.1847581696",neque. Sed eget lacus. Mauris
Britanney Delaney,"Jan 31, 2023",8:29 PM,2,4,1,"-60.4012091392, 133.7563267072",Proin sed turpis nec mauris
